input,label
Tried a new 30-minute core workout after lunch.,store_log
Had grilled steak with mashed potatoes and steamed carrots for dinner.,store_log
Tried a new 30-minute core workout after lunch.,store_log
"I am a 21-year-old female with a height of 177 cm and a weight of 52 kg. My primary goal is endurance, and I aim to reach a target weight of 95 kg. I am a intermediate at the gym. ",user_profile
"I am a 49-year-old male with a height of 168 cm and a weight of 52 kg. My primary goal is endurance, and I aim to reach a target weight of 56 kg. I am a advanced at the gym. ",user_profile
Swam 20 laps at the gym this morning.,store_log
Had spaghetti with marinara sauce and a side salad for dinner.,store_log
Took a 30-minute yoga class in the afternoon.,store_log
Cycled 12 miles after work before breakfast.,store_log
Had stuffed bell peppers with a side of quinoa for dinner.,store_log
Went for a 5k run before breakfast.,store_log
"I am a 19-year-old female with a height of 172 cm and a weight of 89 kg. My primary goal is health maintenance, and I aim to reach a target weight of 77 kg. I am a beginner at the gym. ",user_profile
What's the best way to recover after a tough workout?,ask_advice
Did a bodyweight circuit at home late evening.,store_log
"I am a 20-year-old female with a height of 161 cm and a weight of 61 kg. My primary goal is muscle gain, and I aim to reach a target weight of 66 kg. I am a beginner at the gym. ",user_profile
Had apple slices with peanut butter for snack.,store_log
How do I prevent muscle soreness after a tough workout?,ask_advice
"I am a 36-year-old male with a height of 192 cm and a weight of 67 kg. My primary goal is muscle gain, and I aim to reach a target weight of 72 kg. I am a intermediate at the gym. ",user_profile
Had a turkey sandwich with apple slices for lunch.,store_log
"I am a 48-year-old female with a height of 156 cm and a weight of 50 kg. My primary goal is muscle gain, and I aim to reach a target weight of 55 kg. I am a intermediate at the gym. ",user_profile
Had a protein shake with almond milk and banana for breakfast.,store_log
"I am a 54-year-old male with a height of 196 cm and a weight of 91 kg. My primary goal is weight loss, and I aim to reach a target weight of 86 kg. I am a beginner at the gym. ",user_profile
"I am a 56-year-old male with a height of 159 cm and a weight of 96 kg. My primary goal is muscle gain, and I aim to reach a target weight of 101 kg. I am a beginner at the gym. ",user_profile
What are some practical steps I can take to improve my overall health and well-being?,ask_advice
Took a 30-minute yoga class right after waking up.,store_log
Had a banana and a handful of almonds for snack.,store_log
"I am a 51-year-old male with a height of 172 cm and a weight of 50 kg. My primary goal is weight loss, and I aim to reach a target weight of 45 kg. I am a advanced at the gym. ",user_profile
Had a banana and a handful of almonds for snack.,store_log
Had a banana and a handful of almonds for snack.,store_log
"I am a 23-year-old male with a height of 199 cm and a weight of 57 kg. My primary goal is muscle gain, and I aim to reach a target weight of 62 kg. I am a intermediate at the gym. ",user_profile
"I am a 59-year-old male with a height of 155 cm and a weight of 86 kg. My primary goal is weight loss, and I aim to reach a target weight of 81 kg. I am a advanced at the gym. ",user_profile
"I am a 53-year-old male with a height of 164 cm and a weight of 89 kg. My primary goal is weight loss, and I aim to reach a target weight of 84 kg. I am a advanced at the gym. ",user_profile
Had overnight oats with blueberries and chia seeds for breakfast.,store_log
"I am a 39-year-old female with a height of 182 cm and a weight of 54 kg. My primary goal is muscle gain, and I aim to reach a target weight of 59 kg. I am a beginner at the gym. ",user_profile
Tried a new 30-minute core workout in the afternoon.,store_log
Tried a new 30-minute core workout right after waking up.,store_log
Had a quinoa bowl with roasted vegetables for lunch.,store_log
"I am a 57-year-old male with a height of 169 cm and a weight of 84 kg. My primary goal is weight loss, and I aim to reach a target weight of 79 kg. I am a advanced at the gym. ",user_profile
Walked the dog for 40 minutes before bed.,store_log
"I am a 51-year-old female with a height of 193 cm and a weight of 76 kg. My primary goal is weight loss, and I aim to reach a target weight of 71 kg. I am a intermediate at the gym. ",user_profile
Had baked tofu with brown rice and stir-fried vegetables for dinner.,store_log
Had chili with cornbread and a small salad for dinner.,store_log
Had grilled steak with mashed potatoes and steamed carrots for dinner.,store_log
Had lentil soup with a whole wheat roll for lunch.,store_log
Did a bodyweight circuit at home before bed.,store_log
Had stuffed bell peppers with a side of quinoa for dinner.,store_log
"I am a 58-year-old male with a height of 164 cm and a weight of 88 kg. My primary goal is health maintenance, and I aim to reach a target weight of 92 kg. I am a intermediate at the gym. ",user_profile
"I am a 33-year-old female with a height of 185 cm and a weight of 91 kg. My primary goal is weight loss, and I aim to reach a target weight of 86 kg. I am a beginner at the gym. ",user_profile
"I am a 35-year-old female with a height of 154 cm and a weight of 72 kg. My primary goal is muscle gain, and I aim to reach a target weight of 77 kg. I am a beginner at the gym. ",user_profile
Had scrambled eggs with toast and black coffee for breakfast.,store_log
Had a chicken wrap and a side of fruit for lunch.,store_log
How do I build strong glutes?,ask_advice
"I am a 21-year-old female with a height of 188 cm and a weight of 89 kg. My primary goal is health maintenance, and I aim to reach a target weight of 69 kg. I am a advanced at the gym. ",user_profile
"I am a 26-year-old female with a height of 182 cm and a weight of 75 kg. My primary goal is health maintenance, and I aim to reach a target weight of 68 kg. I am a advanced at the gym. ",user_profile
Had spaghetti with marinara sauce and a side salad for dinner.,store_log
"I am a 31-year-old male with a height of 169 cm and a weight of 57 kg. My primary goal is muscle gain, and I aim to reach a target weight of 62 kg. I am a beginner at the gym. ",user_profile
Had lentil soup with a whole wheat roll for lunch.,store_log
Cycled 12 miles after work before breakfast.,store_log
"I am a 46-year-old male with a height of 176 cm and a weight of 80 kg. My primary goal is weight loss, and I aim to reach a target weight of 75 kg. I am a beginner at the gym. ",user_profile
Had mixed nuts and dried cranberries for snack.,store_log
Did a bodyweight circuit at home before breakfast.,store_log
"I am a 59-year-old male with a height of 155 cm and a weight of 86 kg. My primary goal is weight loss, and I aim to reach a target weight of 81 kg. I am a advanced at the gym. ",user_profile
Had a protein bar and some water for snack.,store_log
"I am a 32-year-old female with a height of 185 cm and a weight of 53 kg. My primary goal is endurance, and I aim to reach a target weight of 57 kg. I am a advanced at the gym. ",user_profile
Had a chicken wrap and a side of fruit for lunch.,store_log
"I am a 56-year-old male with a height of 159 cm and a weight of 96 kg. My primary goal is muscle gain, and I aim to reach a target weight of 101 kg. I am a beginner at the gym. ",user_profile
Had salmon with roasted sweet potatoes and green beans for dinner.,store_log
"I am a 32-year-old female with a height of 174 cm and a weight of 73 kg. My primary goal is muscle gain, and I aim to reach a target weight of 78 kg. I am a beginner at the gym. ",user_profile
"I am a 24-year-old female with a height of 171 cm and a weight of 72 kg. My primary goal is endurance, and I aim to reach a target weight of 81 kg. I am a beginner at the gym. ",user_profile
"I am a 29-year-old female with a height of 179 cm and a weight of 92 kg. My primary goal is health maintenance, and I aim to reach a target weight of 53 kg. I am a beginner at the gym. ",user_profile
